Frequency	Z_E	Phase_E	Z_re	Z_img
9.99999974737875E-5	100583.6953125	-0.279304325580597	27.0720300383251	7.764292820412
2.64000002061948E-4	94564.09375	-0.30045759677887	25.2917649727993	7.83634239799212
6.94999995175749E-4	74765.84375	-0.277011215686798	20.1363550823005	5.72519214566868
0.00182999996468425	60787.3515625	-0.291797459125519	16.3009754118168	4.89634619343949
0.00482999999076128	50841.2578125	-0.292887330055237	13.6293204344493	4.11005724755008
0.012699999846518	41034.671875	-0.373376429080963	10.6980794680164	4.19100089402257
0.0335999988019466	32260.626953125	-0.488816767930985	7.97511565518254	4.24171869846458
0.0886000022292137	23141.171875	-0.673698782920837	5.06387704288688	4.04245395981071
0.233999997377396	14394.5966796875	-0.830590903759003	2.71832007079357	2.97582963502232
0.61599999666214	8027.01171875	-0.968166828155518	1.27394300153653	1.85165059664597
1.62000000476837	4135.037109375	-1.06667029857636	0.559271484191949	1.01377527470784
4.28000020980835	2047.56225585938	-1.12656533718109	0.246390984067987	0.517672058733144
11.3000001907349	1010.5595703125	-1.14149475097656	0.117776716105174	0.257280251327722
29.7999992370605	493.506958007813	-1.1841938495636	0.0521006506280274	0.127983487310445
78.5544738769531	229.480880737305	-1.19812071323395	0.0233956747070571	0.0598439806122616
207.120727539063	104.836708068848	-1.12022435665131	0.012783215532553	0.0264246675054082
546.105041503906	52.2368049621582	-0.889707863330841	0.00920929245798327	0.0113629988017006
1439.88830566406	33.1943054199219	-0.550724923610687	0.00792018481248082	0.00486380987101006
3796.48291015625	27.5287494659424	-0.273702025413513	0.00742113193798794	0.0020834666438922
10010	25.8860626220703	-0.116779141128063	0.00719873118873418	8.44504077744677E-4
